Name,Expertise
張文鐘 (Wen-Thong Chang),物連網系統、視訊串流、通訊系統、影像處理
蔡進發 （Jeffrey J.P. Tsai）,人工智能、生物資料、軟體工程、分散式即時系統
許聞廉(Wen-Lian Hsu),演算法分析、生物資訊、計算語言、自然語言理解、智慧型對話系統
陳良弼(Arbee L.P. Chen),巨量資料分析、資料庫偏愛查詢、行動資訊系統
黃明祥(Min-Shiang Hwang),資訊與網路安全、密碼與藏密學、區塊鏈技術、智慧運算與行動通訊、管理資訊系統
許慶賢(Ching-Hsien Hsu),雲端計算、人工智慧與應用、高性能計算、大數據與串流運算、平行與分散式系統、智慧醫療
李文熙(Wen-Hsi Lee),有機薄膜電晶體、半導體薄膜製程、薄膜太陽能電池、電子陶瓷、射頻陶瓷元件、系統構裝
陳錫明(Shyi-Ming Chen),模糊系統、智慧型系統、模糊決策、智慧型計算、知識庫系統、機器學習、資料探勘、大數據分析、遺傳演算法、粒子群最佳化演算法、類神經網路
洪西進(Shi-Jinn Horng),深度學習與大數據、生物辨識技術、資訊安全、雲端和容錯計算、多媒體應用、醫療應用
詹景裕(Gene-Eu Jan),電腦結構、平行處理、交換網路、超大型積體電路設計
蔡秀芬(Shiow-Fon Tsay),凝態物理理論、計算物理、工程數學
蕭進松(Chin-Sung Hsiao),光電半導體、奈米電漿元件、積體光學、電磁計算
陳興忠(Hsing-Chung Chen),資通訊安全、人工智慧、應用密碼學、智慧物聯網、 區塊鏈技術應用與安全、量子安全供應信賴鏈
Brij Bhooshan Gupta,資訊安全、計算機網路、軟體工程
施能義(Neng-Yih Shih),計算處理與應用、無線感測與轉換、智慧控制系統、定位與追縱
林俊淵(Chun-Yuan Lin),"平行與分散式處理 (MPI, OpenMP, CUDA)、生物資訊(基因體學、蛋白質體學、系統生物學、Solexa)、平行與分散式演算法、資料探勘與機器學習"
蔡志仁(Zhi-Ren Tsai),適應控制、電腦視覺、機器人學、電力電子
陳兆南(Chao-Nan Chen),影像顯示科技、多媒體及3D遊戲設計、VLSI技術
陳瑞奇(Jui-Chi Chen),資通工程(健康照護)、資料探勘與分析、無線網路資源管理、電腦網路
朱學亭(Hsueh-Ting Chu),生物資訊、數位學習、圖型識別、類神經網路、人工智慧
王經篤(Jing-Doo Wang),雲端計算 、文件資訊擷取 、網路資訊擷取 、生物資訊
葉榮輝(Rong-Hwei Yeh),太陽能電池、發光二極體、半導體雷射、非晶矽材料及元件
柯賢儒 (Hsien-Ju Ko),自動控制、訊號處理、電腦網路
"蔡至偉(Jr Wei, Tsai)",機器學習與深度學習應用、訊號處理與演算法開發、圖資料應用與數據挖掘
楊偉儒 (Wei-Zu Yang),個人通訊服務、網際網路電話、網路效能分析、高速網路、類神經網路
THI-VAN NGUYEN,"機器學習、深度學習、電腦視覺,、影像處理、生物辨識技術、資料探勘"
DINH-TRUNG VU,生物辨識技術、電腦視覺、影像處理、深度學習
涂崇一(Chung-Yi Tu),六軸機械手臂軟體設計與應用、人工智慧、影像辨識、數據分析
吳函諺(Han-Yan Wu),資訊隱藏(可逆與不可逆式)、數位浮水印、影像處理
PANDI DIVYA PORKAIPANDI,半導體裝置設計開發、半導體功率元件
關國裕(Kuo-Yu Kuan),邏輯設計、程式設計
Tadao Murata,"Applications of Petri nets to problems related to the design, modeling, analysis, and performance of concurrent systems such as the following: distributed/communication software, network protocols, logic- and rule-based AI systems, manufacturing systems, parallel computing systems, and systems with fuzzy latency."
黃光彩,電機工程
林一平 (Jason Yi-Bing Lin),個人通信網路、行動計算、系統模擬
張嘉淵 (Zhang Jiayuan),雲端運算、大數據分析、演算法、社群媒體、人工智慧物聯網、人本創新應用
許健(Gene Sheu),電子電路、微電子、產品研發、積體電路
林詠章 (Lin Yongzhang),資訊安全、區塊鏈應用、精準健康、智慧醫療、工控安全
